number,date,close_index
5127,2007-09-19,25554.640625
5128,2007-09-20,25701.130859
5129,2007-09-21,25843.779297
5130,2007-09-24,26551.939453
5131,2007-09-25,26430.289063
5132,2007-09-27,27065.150391
5133,2007-09-28,27142.470703
5134,2007-10-02,28199.750000
5135,2007-10-03,27479.939453
5136,2007-10-04,26973.980469
5137,2007-10-05,27831.519531
5138,2007-10-08,27770.289063
5139,2007-10-09,28228.039063
5140,2007-10-10,28569.330078
5141,2007-10-11,29133.019531
5142,2007-10-12,28838.369141
5143,2007-10-15,29540.779297
5144,2007-10-16,28954.550781
5145,2007-10-17,29298.710938
5146,2007-10-18,29465.050781
5147,2007-10-22,28373.630859
5148,2007-10-23,29376.859375
5149,2007-10-24,29333.529297
5150,2007-10-25,29854.490234
5151,2007-10-26,30405.220703
5152,2007-10-29,31586.900391
5153,2007-10-30,31638.220703
5154,2007-10-31,31352.580078
5155,2007-11-01,31492.880859
5156,2007-11-02,30468.339844
5157,2007-11-05,28942.320313
5158,2007-11-06,29438.130859
5159,2007-11-07,29708.929688
5160,2007-11-08,28760.220703
5161,2007-11-09,28783.410156
5162,2007-11-12,27665.730469
5163,2007-11-13,27803.349609
5164,2007-11-14,29166.009766
5165,2007-11-15,28751.210938
5166,2007-11-16,27614.429688
5167,2007-11-19,27460.169922
5168,2007-11-20,27771.210938
5169,2007-11-21,26618.189453
5170,2007-11-22,26004.919922
5171,2007-11-23,26541.089844
5172,2007-11-26,27626.619141
5173,2007-11-27,27210.210938
5174,2007-11-28,27371.240234
5175,2007-11-29,28482.539063
5176,2007-11-30,28643.609375
5177,2007-12-03,28658.419922
5178,2007-12-04,28879.589844
5179,2007-12-05,29345.449219
5180,2007-12-06,29558.919922
5181,2007-12-07,28842.470703
5182,2007-12-10,28501.099609
5183,2007-12-11,29226.839844
5184,2007-12-12,28521.060547
5185,2007-12-13,27744.449219
5186,2007-12-14,27563.640625
5187,2007-12-17,26596.580078
5188,2007-12-18,26732.869141
5189,2007-12-19,27029.259766
5190,2007-12-20,27017.089844
5191,2007-12-21,27626.919922
5192,2007-12-24,28128.800781
5193,2007-12-27,27842.929688
5194,2007-12-28,27370.599609
5195,2007-12-31,27812.650391
5196,2008-01-02,27560.519531
5197,2008-01-03,26887.279297
5198,2008-01-04,27519.689453
5199,2008-01-07,27179.490234
5200,2008-01-08,27112.900391
5201,2008-01-09,27615.849609
5202,2008-01-10,27230.859375
5203,2008-01-11,26867.009766
5204,2008-01-14,26468.130859
5205,2008-01-15,25837.779297
5206,2008-01-16,24450.849609
5207,2008-01-17,25114.980469
5208,2008-01-18,25201.869141
5209,2008-01-21,23818.859375
5210,2008-01-22,21757.630859
5211,2008-01-23,24090.169922
5212,2008-01-24,23539.269531
5213,2008-01-25,25122.369141
5214,2008-01-28,24053.609375
5215,2008-01-29,24291.800781
5216,2008-01-30,23653.689453
5217,2008-01-31,23455.740234
5218,2008-02-01,24123.580078
5219,2008-02-04,25032.080078
5220,2008-02-05,24808.699219
5221,2008-02-06,23469.460938
5222,2008-02-11,22616.109375
5223,2008-02-12,22921.669922
5224,2008-02-13,23169.550781
5225,2008-02-14,24021.679688
5226,2008-02-15,24148.429688
5227,2008-02-18,23759.250000
5228,2008-02-19,24123.169922
5229,2008-02-20,23590.580078
5230,2008-02-21,23623.000000
5231,2008-02-22,23305.039063
5232,2008-02-25,23269.140625
5233,2008-02-26,23714.750000
5234,2008-02-27,24483.839844
